Symbol,Security,GICS Sector,Location,CIK
MGM,MGM Resorts International,Consumer Discretionary,"Paradise, Nevada",68505
KORS,Michael Kors Holdings,Consumer Discretionary,"New York, New York",717423
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona",69499
MU,Micron Technology,Information Technology,"Boise, Idaho",1120193
MSFT,Microsoft Corp.,Information Technology,"Redmond, Washington",1021860
MAA,Mid-America Apartments,Real Estate,"Memphis, Tennessee",1593538
MHK,Mohawk Industries,Consumer Discretionary,"Amsterdam, New York",1002047
TAP,Molson Coors Brewing Company,Consumer Staples,"Denver, Colorado",1065280
MDLZ,Mondelez International,Consumer Staples,"Northfield, Illinois",814453
MNST,Monster Beverage,Consumer Staples,"Corona, California",912750
MCO,Moody's Corp,Financials,"New York, New York",1164727
MS,Morgan Stanley,Financials,"New York, New York",1564708
MOS,The Mosaic Company,Materials,"Plymouth, Minnesota",1564708
MSI,Motorola Solutions Inc.,Information Technology,"Schaumburg, Illinois",753308
MSCI,MSCI Inc,Financials,"New York, New York",1492633
MYL,Mylan N.V.,Health Care,Amsterdam,320187
NDAQ,"Nasdaq, Inc.",Financials,"New York, New York",1111711
NOV,National Oilwell Varco Inc.,Energy,"Houston, Texas",72207
NKTR,Nektar Therapeutics,Health Care,"San Francisco, California",72333
NTAP,NetApp,Information Technology,"Sunnyvale, California",702165
NFLX,Netflix Inc.,Communication Services,"Los Gatos, California",73124
NWL,Newell Brands,Consumer Discretionary,"Sandy Springs, Georgia",1133421
NFX,Newfield Exploration Co,Energy,"Houston, Texas",1013871
NEM,Newmont Mining Corporation,Materials,"Denver, Colorado",73309
NWSA,News Corp. Class A,Communication Services,"New York, New York",1045810
NWS,News Corp. Class B,Communication Services,"New York, New York",898173
NEE,NextEra Energy,Utilities,"Juno Beach, Florida",797468
NLSN,Nielsen Holdings,Industrials,"New York, New York",29989
NKE,Nike,Consumer Discretionary,"Washington County, Oregon",1039684
NI,NiSource Inc.,Utilities,"Merrillville, Indiana",1341439
NBL,Noble Energy Inc,Energy,"Houston, Texas",75362
JWN,Nordstrom,Consumer Discretionary,"Seattle, Washington",76334
NSC,Norfolk Southern Corp.,Industrials,"Norfolk, Virginia",891024
NTRS,Northern Trust Corp.,Financials,"Chicago, Illinois",723531
NOC,Northrop Grumman Corp.,Industrials,"West Falls Church, Virginia",1633917
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Miami, Florida",77360
NRG,NRG Energy,Utilities,"Princeton, New Jersey",1378946
NUE,Nucor Corp.,Materials,"Charlotte, North Carolina",77476
NVDA,Nvidia Corporation,Information Technology,"Santa Clara, California",31791
ORLY,O'Reilly Automotive,Consumer Discretionary,"Springfield, Missouri",1585364
OXY,Occidental Petroleum,Energy,"Los Angeles, California",78003
OMC,Omnicom Group,Communication Services,"New York, New York",1004980
OKE,ONEOK,Energy,"Tulsa, Oklahoma",1413329
ORCL,Oracle Corp.,Information Technology,"Redwood Shores, California",1534701
PCAR,PACCAR Inc.,Industrials,"Bellevue, Washington",764622
PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois",1038357
PH,Parker-Hannifin,Industrials,"Cleveland, Ohio",78814
PAYX,Paychex Inc.,Information Technology,"Penfield, New York",713676
PYPL,PayPal,Information Technology,"San Jose, California",1037038
PNR,Pentair,Industrials,"Worsley, UK",79879
PBCT,People's United Financial,Financials,"Bridgeport, Connecticut",922224
PEP,PepsiCo Inc.,Consumer Staples,"Purchase, New York",884905
PKI,PerkinElmer,Health Care,"Waltham, Massachusetts",1075531
PRGO,Perrigo,Health Care,"Dublin, Ireland",1126328
PFE,Pfizer Inc.,Health Care,"New York, New York",80424
PCG,PG&E Corp.,Utilities,"San Francisco, California",80661
PM,Philip Morris International,Consumer Staples,"New York, New York",1045609
PSX,Phillips 66,Energy,"Houston, Texas",1137774
PNW,Pinnacle West Capital,Utilities,"Phoenix, Arizona",788784
PXD,Pioneer Natural Resources,Energy,"Irving, Texas",1393311
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania",822416
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"New York, New York",78239
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania",1604778
PPL,PPL Corp.,Utilities,"Allentown, Pennsylvania",804328
PFG,Principal Financial Group,Financials,"Des Moines, Iowa",1050915
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",1022079
PGR,Progressive Corp.,Financials,"Mayfield Village, Ohio",315852
PLD,Prologis,Real Estate,"San Francisco, California",1047122
PRU,Prudential Financial,Financials,"Newark, New Jersey",726728
